date,game,score,league,season,game_id,home,away,score_home,actual,predicted,prob_home,prob_draw,prob_away,correct,odds_1,odds_X,odds_2,odds_outcome,return
2020-02-19,Almtuna IS  - MODO Hockey,1 - 4,allsvenskan,2019/20,441593,Almtuna IS,MODO Hockey,1,away,away,0.3,0.23,0.47,1,5.0,5.0,1.51,1.51,1.51
2020-02-19,Västerås IK  - Timrå IK,1 - 2,allsvenskan,2019/20,441594,Västerås IK,Timrå IK,1,draw,away,0.31,0.26,0.43,0,2.42,4.25,2.42,4.25,-1.0
2020-02-19,AIK  - Västerviks IK,3 - 1,allsvenskan,2019/20,441595,AIK,Västerviks IK,3,home,home,0.47,0.21,0.32,1,2.25,4.1,2.67,2.25,2.25
2020-02-19,BIK Karlskoga  - IF Björklöven,1 - 2,allsvenskan,2019/20,441596,BIK Karlskoga,IF Björklöven,1,draw,away,0.41,0.16,0.43,0,3.23,4.4,1.9,4.4,-1.0
2020-02-19,Tingsryds AIF  - Mora IK,3 - 2,allsvenskan,2019/20,441597,Tingsryds AIF,Mora IK,3,draw,home,0.45,0.23,0.32,0,2.36,4.0,2.57,4.0,-1.0
2020-02-21,Karlskrona HK  - HC Vita Hästen,2 - 4,allsvenskan,2019/20,441598,Karlskrona HK,HC Vita Hästen,2,away,home,0.49,0.19,0.32,0,2.77,4.05,2.2,2.2,-1.0
2020-02-21,MODO Hockey  - Kristianstads IK,6 - 5,allsvenskan,2019/20,441599,MODO Hockey,Kristianstads IK,6,draw,home,0.63,0.26,0.11,0,1.32,5.85,7.3,5.85,-1.0
2020-02-21,IF Björklöven  - AIK,3 - 2,allsvenskan,2019/20,441600,IF Björklöven,AIK,3,home,home,0.61,0.18,0.21,1,,,,,
2020-02-21,Mora IK  - BIK Karlskoga,2 - 1,allsvenskan,2019/20,441601,Mora IK,BIK Karlskoga,2,draw,home,0.42,0.23,0.35,0,2.67,4.35,2.18,4.35,-1.0
2020-02-21,Södertälje SK  - Tingsryds AIF,4 - 0,allsvenskan,2019/20,441602,Södertälje SK,Tingsryds AIF,4,home,home,0.6,0.22,0.18,1,1.68,4.2,4.4,1.68,1.68
2020-02-22,Timrå IK  - Västerviks IK,5 - 1,allsvenskan,2019/20,441603,Timrå IK,Västerviks IK,5,home,home,0.55,0.35,0.1,1,1.3,6.15,7.75,1.3,1.3
2020-02-22,Västerås IK  - Almtuna IS,2 - 4,allsvenskan,2019/20,441604,Västerås IK,Almtuna IS,2,away,home,0.41,0.29,0.3,0,,,,,-1.0
2020-02-23,AIK  - Mora IK,4 - 5,allsvenskan,2019/20,441605,AIK,Mora IK,4,draw,home,0.48,0.21,0.31,0,2.73,4.25,2.17,4.25,-1.0
2020-02-25,Västerviks IK  - IF Björklöven,4 - 2,allsvenskan,2019/20,441606,Västerviks IK,IF Björklöven,4,home,home,0.46,0.14,0.4,1,5.9,5.0,1.44,5.9,5.9
2020-02-26,Kristianstads IK  - Västerås IK,2 - 5,allsvenskan,2019/20,441607,Kristianstads IK,Västerås IK,2,away,away,0.32,0.18,0.5,1,2.67,4.1,2.25,2.25,2.25
2020-02-26,HC Vita Hästen  - MODO Hockey,6 - 4,allsvenskan,2019/20,441608,HC Vita Hästen,MODO Hockey,6,home,away,0.32,0.2,0.48,0,4.15,5.2,1.59,4.15,-1.0
2020-02-26,Almtuna IS  - Timrå IK,1 - 11,allsvenskan,2019/20,441609,Almtuna IS,Timrå IK,1,away,away,0.17,0.19,0.64,1,4.65,4.6,1.59,1.59,1.59
2020-02-26,BIK Karlskoga  - Södertälje SK,4 - 2,allsvenskan,2019/20,441610,BIK Karlskoga,Södertälje SK,4,home,home,0.55,0.13,0.32,1,2.13,4.4,2.73,2.13,2.13
2020-02-26,Tingsryds AIF  - Karlskrona HK,3 - 0,allsvenskan,2019/20,441611,Tingsryds AIF,Karlskrona HK,3,home,home,0.61,0.19,0.2,1,2.06,4.05,3.02,2.06,2.06
2020-02-28,Kristianstads IK  - HC Vita Hästen,4 - 3,allsvenskan,2019/20,441612,Kristianstads IK,HC Vita Hästen,4,home,away,0.29,0.19,0.52,0,2.38,4.25,2.45,2.38,-1.0
2020-02-28,Tingsryds AIF  - Almtuna IS,4 - 5,allsvenskan,2019/20,441613,Tingsryds AIF,Almtuna IS,4,draw,home,0.71,0.13,0.16,0,1.89,4.2,3.38,4.2,-1.0
2020-02-28,IF Björklöven  - Södertälje SK,2 - 3,allsvenskan,2019/20,441614,IF Björklöven,Södertälje SK,2,draw,home,0.56,0.3,0.14,0,1.6,4.65,4.5,4.65,-1.0
2020-02-28,Timrå IK  - Mora IK,3 - 2,allsvenskan,2019/20,441615,Timrå IK,Mora IK,3,home,home,0.61,0.23,0.16,1,1.46,5.1,5.45,1.46,1.46
2020-02-28,Karlskrona HK  - Västerviks IK,4 - 3,allsvenskan,2019/20,441616,Karlskrona HK,Västerviks IK,4,draw,home,0.5,0.23,0.27,0,2.11,4.05,2.92,4.05,-1.0
2020-02-28,AIK  - MODO Hockey,1 - 4,allsvenskan,2019/20,441617,AIK,MODO Hockey,1,away,away,0.31,0.21,0.48,1,5.9,5.1,1.43,1.43,1.43
2020-02-28,Västerås IK  - BIK Karlskoga,3 - 4,allsvenskan,2019/20,441618,Västerås IK,BIK Karlskoga,3,draw,home,0.42,0.2,0.38,0,2.21,4.4,2.62,4.4,-1.0
2020-03-04,Västerås IK  - HC Vita Hästen,0 - 1,allsvenskan,2019/20,441619,Västerås IK,HC Vita Hästen,0,away,home,0.56,0.24,0.2,0,1.76,4.35,3.8,3.8,-1.0
