Match,Resultat,date,score_home,score_away,played_1,played_X,played_2,odds_1,odds_X,odds_2,home,away,outcome,odds_outcome
Tyskl U20 - USA U20,3 - 6,2019-12-27,3 , 6,7,8,85,"19,75","12,10","1,05",Tyskl U20 , USA U20,2,"1,05"
Eisbären - Bremerhav,4 - 4,2019-12-27,4 , 4,46,26,28,"1,90","4,40","3,08",Eisbären , Bremerhav,X,"4,40"
NY Ranger - Carolina,5 - 3,2019-12-27,5 , 3,36,26,38,"3,15","4,25","2,00",NY Ranger , Carolina,1,"3,15"
Washingt. - Columbus,1 - 1,2019-12-27,1 , 1,52,23,25,"1,65","4,45","4,50",Washingt. , Columbus,X,"4,45"
N.Jersey - Toronto,4 - 4,2019-12-27,4 , 4,25,24,51,"3,75","4,45","1,80",N.Jersey , Toronto,X,"4,45"
Färjestad - Luleå,2 - 3,2019-12-28,2 , 3,45,26,29,"2,19","4,05","2,90",Färjestad BK,Luleå HF,2,"2,90"
Djurgård. - Skelleft.,3 - 1,2019-12-28,3 , 1,44,21,35,"2,17","4,10","2,93",Djurgårdens IF,Skellefteå AIK,1,"2,17"
Frölunda - Växjö Lak,4 - 0,2019-12-28,4 , 0,58,20,22,"1,81","4,35","3,85",Frölunda HC,Växjö Lakers HC,1,"1,81"
Malmö - Rögle,1 - 4,2019-12-28,1 , 4,43,27,30,"2,26","4,05","2,80",IF Malmö Redhawks,Rögle BK,2,"2,80"
Örebro - HV71,2 - 4,2019-12-28,2 , 4,39,22,39,"2,25","4,05","2,82",Örebro HK,HV 71,2,"2,82"
Oskarsh. - Linköping,2 - 2,2019-12-28,2 , 2,36,23,41,"2,67","4,10","2,34",IK Oskarshamn,Linköping HC,X,"4,10"
Leksand - Brynäs,4 - 2,2019-12-28,4 , 2,44,23,33,"2,18","4,25","2,85",Leksands IF,Brynäs IF,1,"2,18"
Schwe U20 - Sveri U20,2 - 5,2019-12-28,2 , 5,7,11,82,"7,50","6,80","1,30",Schwe U20 , Sveri U20,2,"1,30"
MODO - Timrå,3 - 7,2019-12-29,3 , 7,55,21,24,"1,78","4,40","3,90",MODO Hockey,Timrå IK,2,"3,90"
USA U20 - Ryssl U20,3 - 1,2019-12-29,3 , 1,40,22,38,"2,36","4,60","2,41",USA U20 , Ryssl U20,1,"2,36"
HC Sotji - Sp Moskva,0 - 0,2019-12-29,0 , 0,25,24,51,"3,10","4,00","2,04",HC Sotji , Sp Moskva,X,"4,00"
Tjerepove - St Peters,2 - 2,2019-12-29,2 , 2,12,14,74,"5,50","4,75","1,49",Tjerepove , St Peters,X,"4,75"
St.Louis - Winnipeg,4 - 1,2019-12-29,4 , 1,57,22,21,"1,83","4,30","3,70",St.Louis , Winnipeg,1,"1,83"
Columbus - Chicago,2 - 2,2019-12-29,2 , 2,46,24,30,"1,95","4,25","3,30",Columbus , Chicago,X,"4,25"
Ottawa - N.Jersey,3 - 3,2019-12-29,3 , 3,41,25,34,"2,15","4,20","2,87",Ottawa , N.Jersey,X,"4,20"
Minnesota - NY Island,1 - 3,2019-12-29,1 , 3,39,27,34,"2,43","3,85","2,62",Minnesota , NY Island,2,"2,62"
Växjö Lak - Oskarsh.,3 - 1,2019-12-30,3 , 1,72,16,12,"1,44","5,25","6,25",Växjö Lakers HC,IK Oskarshamn,1,"1,44"
Luleå - Leksand,2 - 0,2019-12-30,2 , 0,76,14,10,"1,45","5,15","6,10",Luleå HF,Leksands IF,1,"1,45"
Linköping - Örebro,1 - 2,2019-12-30,1 , 2,37,24,39,"2,72","4,15","2,29",Linköping HC,Örebro HK,2,"2,29"
Skelleft. - Färjestad,5 - 1,2019-12-30,5 , 1,37,24,39,"2,37","4,30","2,55",Skellefteå AIK,Färjestad BK,1,"2,37"
HV71 - Frölunda,1 - 2,2019-12-30,1 , 2,36,25,39,"2,40","4,15","2,57",HV 71,Frölunda HC,2,"2,57"
Rögle - Djurgård.,3 - 1,2019-12-30,3 , 1,50,22,28,"1,97","4,20","3,35",Rögle BK,Djurgårdens IF,1,"1,97"
Brynäs - Malmö,2 - 3,2019-12-30,2 , 3,40,23,37,"2,29","4,05","2,75",Brynäs IF,IF Malmö Redhawks,2,"2,75"
Karlskron - Kristian.,5 - 1,2019-12-30,5 , 1,60,21,19,"1,83","4,15","3,70",Karlskrona HK,Kristianstads IK,1,"1,83"
Washingt. - NY Island,3 - 4,2019-12-31,3 , 4,51,23,26,"1,85","4,40","3,55",Washingt. , NY Island,2,"3,55"
N.Jersey - Boston,2 - 2,2019-12-31,2 , 2,22,23,55,"3,65","4,35","1,82",N.Jersey , Boston,X,"4,35"
Vegas - Anaheim,5 - 2,2019-12-31,5 , 2,63,20,17,"1,63","4,75","4,40",Vegas , Anaheim,1,"1,63"
Minnesota - Toronto,1 - 4,2019-12-31,1 , 4,33,26,41,"2,80","4,30","2,16",Minnesota , Toronto,2,"2,16"
Buffalo - Tampa Bay,4 - 6,2019-12-31,4 , 6,27,24,49,"3,38","4,60","1,86",Buffalo , Tampa Bay,2,"1,86"
Edmonton - NY Ranger,7 - 5,2019-12-31,7 , 5,40,26,34,"2,08","4,30","2,95",Edmonton , NY Ranger,1,"2,08"
Kanad U20 - Tjeck U20,7 - 2,2019-12-31,7 , 2,71,17,12,"1,22","7,20","8,35",Kanad U20 , Tjeck U20,1,"1,22"
Finla U20 - Schwe U20,2 - 5,2019-12-31,2 , 5,78,13,9,"1,23","6,45","9,10",Finla U20 , Schwe U20,2,"9,10"
Dallas - Nashville,4 - 2,2020-01-01,4 , 2,44,26,30,"2,38","3,80","2,72",IF Sundsvall Hockey, Nashville,1,"2,38"
Dornbirn - HC Innsbr,2 - 0,2020-01-01,2 , 0,41,24,35,"2,17","4,25","2,48",Dornbirn , HC Innsbr,1,"2,17"
Vienna - Fehervar,8 - 2,2020-01-01,8 , 2,74,14,12,"1,35","5,00","6,35",Vienna , Fehervar,1,"1,35"
Znojmo - EHC Linz,7 - 2,2020-01-01,7 , 2,42,26,32,"2,10","4,65","2,46",Znojmo , EHC Linz,1,"2,10"
EC Graz - EC KAC,2 - 2,2020-01-01,2 , 2,35,27,38,"2,36","3,80","2,42",EC Graz , EC KAC,X,"3,80"
Bolzano - Salzburg,1 - 1,2020-01-01,1 , 1,28,24,48,"2,49","4,50","2,11",Bolzano , Salzburg,X,"4,50"
Schwe U20 - Ryssl U20,1 - 3,2020-01-01,1 , 3,15,15,70,"9,90","7,80","1,19",Schwe U20 , Ryssl U20,2,"1,19"
Kanad U20 - Slova U20,6 - 1,2020-01-01,6 , 1,93,4,3,"1,01","25,00","38,00",Kanad U20 , Slova U20,1,"1,01"
Färjestad - Linköping,3 - 1,2020-01-02,3 , 1,72,15,13,"1,43","5,40","6,15",Färjestad BK,Linköping HC,1,"1,43"
Sveri U20 - Tjeck U20,5 - 0,2020-01-02,5 , 0,71,17,12,"1,39","6,45","6,10",Sveri U20 , Tjeck U20,1,"1,39"
USA U20 - Finla U20,0 - 1,2020-01-02,0 , 1,56,21,23,"1,60","5,65","4,05",USA U20 , Finla U20,2,"4,05"
Kirun AIF - Kalix,4 - 3,2020-01-02,4 , 3,45,23,32,"1,84","4,80","2,88",Kirun AIF , Kalix,1,"1,84"
Vännäs - Lejon,2 - 3,2020-01-02,2 , 3,62,18,20,"1,43","5,20","4,85",Vännäs , Lejon,2,"4,85"
Bern - EHC Biel,3 - 2,2020-01-02,3 , 2,49,24,27,"1,70","4,15","4,05",Bern , EHC Biel,1,"1,70"
Fribourg - Zug,2 - 3,2020-01-02,2 , 3,28,23,49,"3,00","4,15","1,99",Fribourg , Zug,2,"1,99"
Lausanne - Ambri,5 - 1,2020-01-02,5 , 1,50,24,26,"1,82","4,10","3,47",Lausanne , Ambri,1,"1,82"
Björklöv. - BIK Karls,5 - 1,2020-01-03,5 , 1,57,21,22,"1,71","4,35","4,20",IF Björklöven,BIK Karlskoga,1,"1,71"
Timrå - Västerås,1 - 1,2020-01-03,1 , 1,62,19,19,"1,67","4,50","4,35",Timrå IK,Västerås IK,X,"4,50"
MODO - Almtuna,6 - 3,2020-01-03,6 , 3,78,12,10,"1,29","6,05","8,00",MODO Hockey,Almtuna IS,1,"1,29"
Halmstad - Visby/Rom,3 - 6,2020-01-03,3 , 6,48,22,30,"2,23","4,55","2,40",Halmstad , Visby/Rom,2,"2,40"
Nybro - Huddinge,5 - 2,2020-01-03,5 , 2,35,23,42,"2,40","4,40","2,26",Nybro Vikings IF,Huddinge IK,1,"2,40"
Vimmerby - Kalmar,2 - 1,2020-01-03,2 , 1,37,24,39,,,,Vimmerby , Kalmar,1,
Dalen - Borås HC,6 - 5,2020-01-03,6 , 5,44,21,35,"1,66","4,80","3,50",Dalen ,Borås HC,1,"1,66"
Köping - Malung,1 - 5,2020-01-03,1 , 5,54,20,26,"1,85","4,70","2,90",Linköping HC, Malung,2,"2,90"
Luleå - Linköping,2 - 2,2020-01-04,2 , 2,78,13,9,"1,40","5,45","6,80",Luleå HF,Linköping HC,X,"5,45"
Växjö Lak - Brynäs,3 - 1,2020-01-04,3 , 1,63,19,18,"1,77","4,40","3,95",Växjö Lakers HC,Brynäs IF,1,"1,77"
Frölunda - Rögle,1 - 2,2020-01-04,1 , 2,58,21,21,"1,69","4,45","4,40",Frölunda HC,Rögle BK,2,"4,40"
Leksand - Skelleft.,0 - 3,2020-01-04,0 , 3,30,22,48,"2,75","4,30","2,22",Leksands IF,Skellefteå AIK,2,"2,22"
Oskarsh. - Djurgård.,2 - 4,2020-01-04,2 , 4,25,22,53,"3,60","4,35","1,86",IK Oskarshamn,Djurgårdens IF,2,"1,86"
Malmö - Örebro,2 - 2,2020-01-04,2 , 2,49,23,28,"2,15","4,10","3,00",IF Malmö Redhawks,Örebro HK,X,"4,10"
Sveri U20 - Ryssl U20,4 - 4,2020-01-04,4 , 4,44,26,30,"2,21","4,80","2,65",Sveri U20 , Ryssl U20,X,"4,80"
Kanad U20 - Finla U20,5 - 0,2020-01-04,5 , 0,56,22,22,"1,59","5,30","4,15",Kanad U20 , Finla U20,1,"1,59"
Kanad U20 - Ryssl U20,4 - 3,2020-01-05,4 , 3,48,23,29,"2,16","4,95","2,70",Kanad U20 , Ryssl U20,1,"2,16"
Sveri U20 - Finla U20,3 - 2,2020-01-05,3 , 2,55,23,22,"1,71","5,30","3,85",Sveri U20 , Finla U20,1,"1,71"
Nybro - Visby/Rom,0 - 2,2020-01-05,0 , 2,63,17,20,"1,60","4,85","3,95",Nybro Vikings IF, Visby/Rom,2,"3,95"
Skövde - Troja/Lju,4 - 5,2020-01-05,4 , 5,28,20,52,"3,30","4,90","1,73",Skövde ,IF Troja/Ljungby,2,"1,73"
Halmstad - Huddinge,3 - 4,2020-01-05,3 , 4,32,22,46,"3,95","4,95","1,59",Halmstad ,Huddinge IK,2,"1,59"
Kall./Rby - Mariestad,5 - 4,2020-01-05,5 , 4,55,22,23,"2,20","4,45","2,46",Kall./Rby ,Mariestad BoIS HC,1,"2,20"
Borlänge - Vallentun,7 - 5,2020-01-05,7 , 5,65,17,18,"1,48","5,25","4,50",Borlänge , Vallentun,1,"1,48"
Lindlöven - Väsby,4 - 4,2020-01-05,4 , 4,25,21,54,"3,70","4,90","1,63",Lindlöven , Väsby,X,"4,90"
Kalix - Vännäs,2 - 0,2020-01-06,2 , 0,72,15,13,"1,20","6,75","8,40",Kalix , Vännäs,1,"1,20"
Linden - Köping,6 - 2,2020-01-06,6 , 2,47,23,30,"1,75","4,75","3,15",Linden ,Linköping HC,1,"1,75"
Din Riga - Jokerit,0 - 7,2020-01-06,0 , 7,18,20,62,"4,65","4,80","1,56",Din Riga , Jokerit,2,"1,56"
Kölner - Krefeld,1 - 3,2020-01-06,1 , 3,56,24,20,"1,70","4,15","3,95",Kölner , Krefeld,2,"3,95"
Bolzano - Dornbirn,2 - 2,2020-01-06,2 , 2,66,19,15,"1,33","5,30","6,40",Bolzano , Dornbirn,X,"5,30"
Toronto - Edmonton,4 - 6,2020-01-06,4 , 6,57,22,21,"1,71","4,70","3,90",Toronto , Edmonton,2,"3,90"
Montreal - Winnipeg,2 - 3,2020-01-06,2 , 3,42,26,32,"2,02","4,25","3,10",Montreal , Winnipeg,2,"3,10"
NY Island - Colorado,1 - 0,2020-01-06,1 , 0,37,26,37,"2,72","4,00","2,30",NY Island , Colorado,1,"2,72"
Timrå - Västervik,5 - 1,2020-01-07,5 , 1,68,17,15,"1,45","5,05","5,70",Timrå IK,Västerviks IK,1,"1,45"
