date,game,score,league,season,game_id,home,away,score_home,score_away,result,game_id_home,team_x,h_a_home,win_R5_home,draw_R5_home,lost_R5_home,H2H_W_home,H2H_D_home,H2H_L_home,scored_avg_R5_home,conceded_avg_R5_home,points_cum_prev_avg_home,points_cum_h_a_prev_avg_home,game_id_away,team_y,h_a_away,win_R5_away,draw_R5_away,lost_R5_away,H2H_W_away,H2H_D_away,H2H_L_away,scored_avg_R5_away,conceded_avg_R5_away,points_cum_prev_avg_away,points_cum_h_a_prev_avg_away
2020-10-17,IK Oskarshamn  - Örebro HK,,shl,2020/21,,IK Oskarshamn,Örebro HK,,,,,IK Oskarshamn,home,0.4,0.0,0.4,0.25,0.2,0.55,3.25,3.5,1.2857142857142858,0.75,,Örebro HK,away,0.4,0.0,0.4,0.55,0.2,0.25,3.25,3.0,1.7142857142857142,1.5
2020-10-17,IF Malmö Redhawks  - Luleå HF,,shl,2020/21,,IF Malmö Redhawks,Luleå HF,,,,,IF Malmö Redhawks,home,0.4,0.0,0.4,0.3,0.25,0.45,2.25,2.75,1.2,1.5,,Luleå HF,away,0.4,0.4,0.0,0.45,0.25,0.3,2.75,2.75,2.0,1.3333333333333333
2020-10-17,Leksands IF  - Rögle BK,,shl,2020/21,,Leksands IF,Rögle BK,,,,,Leksands IF,home,0.2,0.0,0.6,0.3684210526315789,0.21052631578947367,0.42105263157894735,2.25,3.0,1.0,0.3333333333333333,,Rögle BK,away,0.6,0.0,0.2,0.42105263157894735,0.21052631578947367,0.3684210526315789,3.0,2.0,2.142857142857143,1.5
2020-10-17,Skellefteå AIK  - Linköping HC,,shl,2020/21,,Skellefteå AIK,Linköping HC,,,,,Skellefteå AIK,home,0.4,0.0,0.2,0.4666666666666667,0.13333333333333333,0.4,3.0,2.0,1.375,1.5,,Linköping HC,away,0.0,0.2,0.6,0.4,0.13333333333333333,0.4666666666666667,3.5,4.75,0.42857142857142855,0.0
2020-10-17,Djurgårdens IF  - HV 71,,shl,2020/21,,Djurgårdens IF,HV 71,,,,,Djurgårdens IF,home,0.2,0.2,0.4,0.24,0.3,0.46,3.0,2.75,0.8333333333333334,1.25,,HV 71,away,0.2,0.2,0.4,0.46,0.3,0.24,3.5,3.75,0.5,0.0
2020-10-17,Färjestad BK  - Frölunda HC,,shl,2020/21,,Färjestad BK,Frölunda HC,,,,,Färjestad BK,home,0.2,0.2,0.4,0.38333333333333336,0.3,0.31666666666666665,3.0,3.5,0.875,1.0,,Frölunda HC,away,0.4,0.0,0.2,0.31666666666666665,0.3,0.38333333333333336,2.6666666666666665,1.6666666666666667,1.7142857142857142,1.5
2020-10-20,Leksands IF  - Djurgårdens IF,,shl,2020/21,,Leksands IF,Djurgårdens IF,,,,,Leksands IF,home,0.2,0.0,0.4,0.2352941176470588,0.1176470588235294,0.6470588235294118,2.0,2.333333333333333,0.875,0.25,,Djurgårdens IF,away,0.0,0.2,0.4,0.6470588235294118,0.1176470588235294,0.2352941176470588,3.0,3.6666666666666665,0.7142857142857143,0.0
2020-10-20,IF Malmö Redhawks  - Frölunda HC,,shl,2020/21,,IF Malmö Redhawks,Frölunda HC,,,,,IF Malmö Redhawks,home,0.4,0.0,0.2,0.25,0.25,0.5,2.0,2.0,1.0,1.0,,Frölunda HC,away,0.4,0.0,0.0,0.5,0.25,0.25,3.5,1.0,1.5,1.0
2020-10-22,Luleå HF  - Leksands IF,,shl,2020/21,,Luleå HF,Leksands IF,,,,,Luleå HF,home,0.2,0.4,0.0,0.6111111111111112,0.2777777777777778,0.1111111111111111,2.0,2.333333333333333,1.75,2.5,,Leksands IF,away,0.2,0.0,0.2,0.1111111111111111,0.2777777777777778,0.6111111111111112,2.0,1.5,0.7777777777777778,1.5
2020-10-22,Djurgårdens IF  - Skellefteå AIK,,shl,2020/21,,Djurgårdens IF,Skellefteå AIK,,,,,Djurgårdens IF,home,0.0,0.2,0.2,0.42,0.24,0.34,3.0,3.0,0.625,1.0,,Skellefteå AIK,away,0.4,0.0,0.0,0.34,0.24,0.42,3.5,1.5,1.2222222222222223,1.25
2020-10-22,Rögle BK  - Frölunda HC,,shl,2020/21,,Rögle BK,Frölunda HC,,,,,Rögle BK,home,0.6,0.0,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,3.6666666666666665,2.0,1.875,3.0,,Frölunda HC,away,0.2,0.0,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,3.0,0.0,1.3333333333333333,0.75
2020-10-22,Färjestad BK  - Örebro HK,,shl,2020/21,,Färjestad BK,Örebro HK,,,,,Färjestad BK,home,0.2,0.2,0.2,0.43333333333333335,0.3,0.26666666666666666,3.333333333333333,3.333333333333333,0.7777777777777778,0.75,,Örebro HK,away,0.2,0.0,0.4,0.26666666666666666,0.3,0.43333333333333335,2.6666666666666665,3.0,1.5,1.2
2020-10-22,Linköping HC  - IK Oskarshamn,,shl,2020/21,,Linköping HC,IK Oskarshamn,,,,,Linköping HC,home,0.0,0.0,0.6,0.25,0.25,0.5,3.0,5.0,0.375,0.75,,IK Oskarshamn,away,0.2,0.0,0.4,0.5,0.25,0.25,3.0,4.0,1.125,2.0
2020-10-22,HV 71  - Brynäs IF,,shl,2020/21,,HV 71,Brynäs IF,,,,,HV 71,home,0.2,0.2,0.2,0.45,0.31666666666666665,0.2333333333333333,3.333333333333333,3.333333333333333,0.4444444444444444,1.0,,Brynäs IF,away,0.2,0.2,0.2,0.2333333333333333,0.31666666666666665,0.45,2.0,2.333333333333333,1.125,1.2
2020-10-22,Växjö Lakers HC  - IF Malmö Redhawks,,shl,2020/21,,Växjö Lakers HC,IF Malmö Redhawks,,,,,Växjö Lakers HC,home,0.2,0.0,0.4,0.38235294117647056,0.2352941176470588,0.38235294117647056,1.3333333333333333,1.6666666666666667,1.125,1.0,,IF Malmö Redhawks,away,0.4,0.0,0.0,0.38235294117647056,0.2352941176470588,0.38235294117647056,3.0,1.5,0.8571428571428571,1.0
2020-10-24,Skellefteå AIK  - Rögle BK,,shl,2020/21,,Skellefteå AIK,Rögle BK,,,,,Skellefteå AIK,home,0.2,0.0,0.0,0.7142857142857143,0.11428571428571427,0.17142857142857146,3.0,1.0,1.1,1.2,,Rögle BK,away,0.4,0.0,0.0,0.17142857142857146,0.11428571428571427,0.7142857142857143,3.0,1.5,1.6666666666666667,1.2
2020-10-24,Leksands IF  - Färjestad BK,,shl,2020/21,,Leksands IF,Färjestad BK,,,,,Leksands IF,home,0.2,0.0,0.0,0.2777777777777778,0.05555555555555555,0.6666666666666666,4.0,1.0,0.7,0.2,,Färjestad BK,away,0.2,0.2,0.0,0.6666666666666666,0.05555555555555555,0.2777777777777778,4.0,3.0,0.7,0.8
