,date,game,score,periodscore,spectators,schedule_id,game_id,league,season,home,away,score_home,score_away,p1score,p2score,p3score,p4score,p5score,p1score_home,p1score_away,p2score_home,p2score_away,p3score_home,p3score_away,p4score_home,p4score_away,p5score_home,p5score_away,result,result_p1,result_p2,result_p3,result_p4,result_p5
1796,2017-02-28 ,HV 71  - Brynäs IF,3 - 0,"1-0, 1-0, 1-0",6511.0,7132,302119.0,shl,2016/17,HV 71,Brynäs IF,3.0,0.0,1-0, 1-0, 1-0,,,1.0,0.0,1.0,0.0,1.0,0.0,,,,,home,home,home,home,,
1797,2017-03-01 ,Örebro HK  - IF Malmö Redhawks,2 - 1,"0-0, 1-1, 1-0",5062.0,7132,302120.0,shl,2016/17,Örebro HK,IF Malmö Redhawks,2.0,1.0,0-0, 1-1, 1-0,,,0.0,0.0,1.0,1.0,1.0,0.0,,,,,home,draw,draw,home,,
1798,2017-03-01 ,Djurgårdens IF  - Växjö Lakers HC,2 - 1,"1-1, 0-0, 0-0, 0-0, 1-0",6233.0,7132,302121.0,shl,2016/17,Djurgårdens IF,Växjö Lakers HC,2.0,1.0,1-1, 0-0, 0-0, 0-0, 1-0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,draw,draw,draw,draw,draw,home
1799,2017-01-26 ,Linköping HC  - Skellefteå AIK,3 - 0,"1-0, 1-0, 1-0",5069.0,7132,302122.0,shl,2016/17,Linköping HC,Skellefteå AIK,3.0,0.0,1-0, 1-0, 1-0,,,1.0,0.0,1.0,0.0,1.0,0.0,,,,,home,home,home,home,,
1800,2017-03-02 ,Rögle BK  - Leksands IF,4 - 1,"1-0, 1-1, 2-0",4622.0,7132,302123.0,shl,2016/17,Rögle BK,Leksands IF,4.0,1.0,1-0, 1-1, 2-0,,,1.0,0.0,1.0,1.0,2.0,0.0,,,,,home,home,draw,home,,
1801,2017-03-02 ,Brynäs IF  - Frölunda HC,2 - 3,"1-1, 1-1, 0-0, 0-1",5232.0,7132,302124.0,shl,2016/17,Brynäs IF,Frölunda HC,2.0,3.0,1-1, 1-1, 0-0, 0-1,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,draw,draw,draw,draw,away,
1802,2017-03-02 ,Färjestad BK  - Luleå HF,5 - 0,"1-0, 2-0, 2-0",6908.0,7132,302125.0,shl,2016/17,Färjestad BK,Luleå HF,5.0,0.0,1-0, 2-0, 2-0,,,1.0,0.0,2.0,0.0,2.0,0.0,,,,,home,home,home,home,,
1803,2017-03-02 ,Karlskrona HK  - HV 71,2 - 5,"0-2, 1-0, 1-3",3438.0,7132,302126.0,shl,2016/17,Karlskrona HK,HV 71,2.0,5.0,0-2, 1-0, 1-3,,,0.0,2.0,1.0,0.0,1.0,3.0,,,,,away,away,home,away,,
1804,2017-03-03 ,IF Malmö Redhawks  - Djurgårdens IF,2 - 3,"0-0, 0-1, 2-1, 0-1",6239.0,7132,302127.0,shl,2016/17,IF Malmö Redhawks,Djurgårdens IF,2.0,3.0,0-0, 0-1, 2-1, 0-1,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,,,draw,draw,away,home,away,
1805,2017-03-03 ,Växjö Lakers HC  - Örebro HK,7 - 4,"1-1, 3-1, 3-2",5013.0,7132,302128.0,shl,2016/17,Växjö Lakers HC,Örebro HK,7.0,4.0,1-1, 3-1, 3-2,,,1.0,1.0,3.0,1.0,3.0,2.0,,,,,home,draw,home,home,,
1806,2017-03-04 ,Luleå HF  - Leksands IF,5 - 2,"0-0, 2-0, 3-2",4939.0,7132,302129.0,shl,2016/17,Luleå HF,Leksands IF,5.0,2.0,0-0, 2-0, 3-2,,,0.0,0.0,2.0,0.0,3.0,2.0,,,,,home,draw,home,home,,
1807,2017-03-04 ,Färjestad BK  - HV 71,1 - 0,"0-0, 1-0, 0-0",8087.0,7132,302130.0,shl,2016/17,Färjestad BK,HV 71,1.0,0.0,0-0, 1-0, 0-0,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,home,draw,home,draw,,
1808,2017-03-04 ,Karlskrona HK  - Skellefteå AIK,6 - 1,"3-0, 1-0, 2-1",3852.0,7132,302131.0,shl,2016/17,Karlskrona HK,Skellefteå AIK,6.0,1.0,3-0, 1-0, 2-1,,,3.0,0.0,1.0,0.0,2.0,1.0,,,,,home,home,home,home,,
1809,2017-03-04 ,Frölunda HC  - Rögle BK,3 - 1,"2-0, 1-1, 0-0",10560.0,7132,302132.0,shl,2016/17,Frölunda HC,Rögle BK,3.0,1.0,2-0, 1-1, 0-0,,,2.0,0.0,1.0,1.0,0.0,0.0,,,,,home,home,draw,draw,,
1810,2017-03-04 ,Örebro HK  - Växjö Lakers HC,2 - 3,"1-0, 1-0, 0-2, 0-1",5500.0,7132,302133.0,shl,2016/17,Örebro HK,Växjö Lakers HC,2.0,3.0,1-0, 1-0, 0-2, 0-1,,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,,,draw,home,home,away,away,
1811,2017-03-04 ,Djurgårdens IF  - IF Malmö Redhawks,4 - 0,"1-0, 1-0, 2-0",7371.0,7132,302134.0,shl,2016/17,Djurgårdens IF,IF Malmö Redhawks,4.0,0.0,1-0, 1-0, 2-0,,,1.0,0.0,1.0,0.0,2.0,0.0,,,,,home,home,home,home,,
1812,2017-03-05 ,Linköping HC  - Brynäs IF,3 - 0,"0-0, 1-0, 2-0",8147.0,7132,302135.0,shl,2016/17,Linköping HC,Brynäs IF,3.0,0.0,0-0, 1-0, 2-0,,,0.0,0.0,1.0,0.0,2.0,0.0,,,,,home,draw,home,home,,
1813,2017-03-07 ,Leksands IF  - Djurgårdens IF,0 - 5,"0-3, 0-1, 0-1",4408.0,7132,302136.0,shl,2016/17,Leksands IF,Djurgårdens IF,0.0,5.0,0-3, 0-1, 0-1,,,0.0,3.0,0.0,1.0,0.0,1.0,,,,,away,away,away,away,,
1814,2017-03-07 ,Skellefteå AIK  - Frölunda HC,2 - 1,"1-0, 0-0, 1-1",4586.0,7132,302137.0,shl,2016/17,Skellefteå AIK,Frölunda HC,2.0,1.0,1-0, 0-0, 1-1,,,1.0,0.0,0.0,0.0,1.0,1.0,,,,,home,home,draw,draw,,
1815,2017-03-07 ,Brynäs IF  - Karlskrona HK,5 - 2,"3-1, 1-0, 1-1",4143.0,7132,302138.0,shl,2016/17,Brynäs IF,Karlskrona HK,5.0,2.0,3-1, 1-0, 1-1,,,3.0,1.0,1.0,0.0,1.0,1.0,,,,,home,home,home,draw,,
1816,2017-03-07 ,Växjö Lakers HC  - Linköping HC,2 - 3,"0-0, 2-1, 0-2",4354.0,7132,302139.0,shl,2016/17,Växjö Lakers HC,Linköping HC,2.0,3.0,0-0, 2-1, 0-2,,,0.0,0.0,2.0,1.0,0.0,2.0,,,,,away,draw,home,away,,
1817,2017-03-07 ,Rögle BK  - Örebro HK,5 - 1,"3-0, 0-0, 2-1",3399.0,7132,302140.0,shl,2016/17,Rögle BK,Örebro HK,5.0,1.0,3-0, 0-0, 2-1,,,3.0,0.0,0.0,0.0,2.0,1.0,,,,,home,home,draw,home,,
1818,2017-03-07 ,HV 71  - Luleå HF,6 - 0,"0-0, 2-0, 4-0",5917.0,7132,302141.0,shl,2016/17,HV 71,Luleå HF,6.0,0.0,0-0, 2-0, 4-0,,,0.0,0.0,2.0,0.0,4.0,0.0,,,,,home,draw,home,home,,
1819,2017-03-07 ,IF Malmö Redhawks  - Färjestad BK,2 - 5,"0-1, 2-1, 0-3",5940.0,7132,302142.0,shl,2016/17,IF Malmö Redhawks,Färjestad BK,2.0,5.0,0-1, 2-1, 0-3,,,0.0,1.0,2.0,1.0,0.0,3.0,,,,,away,away,home,away,,
1820,2015-09-16 ,Linköping HC  - Djurgårdens IF,3 - 2,"1-2, 1-0, 0-0, 1-0",7041.0,6052,252963.0,shl,2015/16,Linköping HC,Djurgårdens IF,3.0,2.0,1-2, 1-0, 0-0, 1-0,,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,,,draw,away,home,draw,home,
